order_id,customer_id,product_id,order_date,quantity
156,83,53,2026-07-20,5
157,71,56,2025-09-21,1
158,247,56,2026-08-24,5
159,53,46,2026-07-02,5
160,64,19,2025-09-30,2
161,140,29,2026-04-05,2
162,224,6,2025-09-27,4
163,179,60,2026-07-01,4
164,28,26,2026-08-13,3
165,121,25,2025-03-28,3
166,115,2,2026-08-10,1
167,172,51,2026-03-07,2
168,20,19,2026-04-25,2
169,241,29,2026-07-17,1
170,41,2,2025-11-24,2
171,77,36,2026-08-22,5
172,271,28,2026-02-22,3
173,122,20,2025-11-27,1
174,123,27,2026-07-24,1
175,57,54,2026-08-15,4
176,275,2,2026-06-24,5
177,295,16,2025-12-15,3
178,220,1,2026-08-24,2
179,293,27,2025-10-12,1
180,269,24,2025-10-16,5
181,279,33,2026-08-05,5
182,284,2,2025-11-13,4
183,23,41,2026-04-08,3
184,130,48,2025-04-24,3
185,35,23,2026-08-13,1
186,298,48,2026-08-23,3
187,69,3,2026-07-26,5
188,174,53,2025-07-04,4
189,246,41,2025-12-09,2
190,33,46,2026-08-10,1
191,151,13,2026-06-22,2
192,22,21,2026-03-29,5
193,204,53,2026-08-01,4
194,130,3,2026-05-06,2
195,147,23,2025-12-12,3
196,140,8,2026-08-30,3
197,224,57,2026-03-28,4
198,198,22,2025-11-16,4
199,255,24,2026-08-31,3
200,43,47,2026-03-22,1
201,221,39,2025-10-23,5
202,151,21,2026-06-30,1
203,168,43,2025-12-21,3
204,229,39,2026-08-03,2
205,228,23,2026-07-12,1
206,181,40,2026-07-22,3
207,30,5,2026-08-24,4
208,187,33,2026-03-01,1
209,74,55,2026-08-20,4
210,18,9,2025-05-20,2
211,188,24,2026-04-20,5
212,17,39,2026-02-14,4
213,190,24,2026-01-19,1
214,294,9,2026-08-29,3
215,204,21,2026-08-28,3
216,128,8,2026-01-15,2
217,256,34,2026-02-01,5
218,61,17,2026-03-29,4
219,110,40,2026-07-29,4
220,103,8,2026-01-12,1
221,232,12,2026-07-14,1
222,164,43,2026-01-31,1
223,282,35,2026-01-23,3
224,81,46,2026-06-02,3
225,261,15,2026-06-02,2
226,72,16,2026-08-09,4
227,14,24,2026-06-25,4
228,283,9,2026-08-31,1
229,34,20,2025-12-12,4
230,270,27,2026-06-15,5
231,38,9,2025-10-31,1
232,231,30,2026-08-18,5
233,177,9,2026-08-29,5
234,94,50,2026-07-14,4
235,258,59,2025-03-12,1
236,266,10,2026-05-03,2
237,83,21,2026-08-22,2
238,178,34,2026-06-24,1
239,129,13,2026-06-25,5
240,141,9,2026-08-29,3
241,274,6,2025-12-25,2
242,298,10,2026-06-09,5
243,173,54,2026-06-22,1
244,15,6,2026-04-27,5
245,136,42,2025-08-06,5
246,214,40,2026-04-29,1
247,255,57,2026-08-31,3
248,155,31,2026-03-18,4
249,153,30,2026-01-11,1
250,81,29,2026-08-03,4
251,238,14,2026-03-27,5
252,74,21,2026-06-07,3
253,205,9,2026-07-30,3
254,264,36,2025-08-31,3
255,124,30,2025-05-15,3
256,231,16,2026-07-15,1
257,26,19,2026-07-26,5
258,215,16,2026-08-31,2
259,168,60,2026-05-14,3
260,98,49,2026-08-12,4
261,264,30,2026-03-20,3
262,255,2,2026-08-27,4
263,259,30,2025-10-20,2
264,299,23,2026-01-04,1
265,145,32,2026-08-27,4
266,147,35,2025-11-22,1
267,221,9,2025-12-05,3
268,207,24,2026-04-22,4
269,27,37,2026-08-29,2
270,186,36,2026-03-16,1
271,198,33,2026-03-31,5
272,144,53,2026-03-14,5
273,61,9,2026-01-04,4
274,192,51,2026-07-31,5
275,188,49,2025-08-18,2
276,261,26,2026-07-21,1
277,24,3,2025-12-10,3
278,243,34,2026-06-30,2
279,264,9,2025-12-22,5
280,164,11,2026-02-24,5
281,154,38,2025-10-27,5
282,261,35,2026-07-19,5
283,154,31,2026-06-29,1
284,189,22,2026-08-04,1
285,214,38,2025-11-10,1
286,243,17,2026-07-25,5
287,296,15,2026-07-28,1
288,299,31,2026-02-04,5
289,195,10,2026-08-23,2
290,17,37,2026-07-04,1
291,98,2,2026-08-21,3
292,215,10,2026-06-21,2
293,211,33,2026-06-27,4
294,32,46,2026-06-13,5
295,107,36,2026-03-14,4
296,270,25,2026-05-22,2
297,236,59,2026-07-29,3
298,280,23,2026-08-07,3
299,248,13,2026-08-05,3
300,286,20,2025-10-31,3
301,148,46,2026-07-04,4
302,163,31,2026-06-26,5
303,141,19,2025-12-14,5
304,279,25,2026-08-19,4
305,177,50,2026-08-03,3
306,22,19,2026-07-10,1
307,178,60,2026-08-04,3
308,246,14,2025-12-19,5
309,139,60,2026-06-05,3
310,71,7,2026-03-27,5
311,123,16,2026-04-10,5
312,116,41,2026-02-12,1
313,52,27,2026-05-16,4
314,52,44,2026-02-06,1
315,282,60,2025-11-16,4
316,244,31,2025-08-10,3
317,165,19,2026-05-19,1
318,46,42,2026-08-15,2
319,274,48,2026-04-17,1
320,90,27,2025-10-12,1
321,204,51,2026-07-19,2
322,149,57,2026-08-15,1
323,153,37,2026-01-28,3
324,146,30,2026-03-16,5
325,269,32,2025-11-19,5
326,240,18,2025-07-27,1
327,170,11,2026-06-28,3
328,96,1,2026-02-20,3
329,291,44,2025-10-07,2
330,208,53,2026-05-13,5
331,168,6,2026-02-13,1
332,95,9,2026-08-05,3
333,128,1,2026-03-16,4
334,121,29,2025-10-04,3
335,155,38,2025-11-18,3
336,185,45,2026-05-26,1
337,61,30,2026-04-22,2
338,208,44,2026-06-01,3
339,61,41,2026-04-16,3
340,114,15,2025-07-06,4
341,79,30,2026-08-20,5
342,192,27,2026-08-23,5
343,242,49,2026-08-26,2
344,127,44,2026-06-01,5
345,42,34,2026-08-17,5
346,186,5,2026-08-04,1
347,32,54,2026-08-05,5
348,104,37,2025-08-16,2
349,168,55,2026-04-15,4
350,60,44,2026-07-20,5
351,251,6,2026-06-03,4
352,29,30,2025-06-17,5
353,213,30,2026-05-08,1
354,287,30,2026-04-17,1
355,203,17,2026-08-30,2
356,297,5,2025-07-28,4
357,177,45,2026-07-29,5
358,31,60,2026-08-06,4
359,17,19,2026-04-20,2
360,70,50,2026-08-03,4
361,192,58,2026-08-03,4
362,194,25,2026-02-23,5
363,69,42,2026-07-25,1
364,92,35,2026-06-07,5
365,66,47,2025-12-06,1
366,12,20,2026-08-05,5
367,218,35,2025-11-08,2
368,127,30,2025-11-04,2
369,142,13,2026-08-22,1
370,17,52,2026-06-24,4
371,9,16,2026-05-27,1
372,52,39,2025-12-15,4
373,25,16,2026-07-09,1
374,206,29,2026-03-24,5
375,112,49,2026-07-25,2
376,258,19,2025-09-11,5
377,164,37,2026-06-09,3
378,122,20,2025-12-08,5
379,114,27,2025-09-29,3
380,32,36,2026-08-10,2
381,219,36,2025-12-30,1
382,177,42,2026-08-18,5
383,164,45,2026-03-08,4
384,77,20,2026-05-24,2
385,276,31,2025-11-26,2
386,154,55,2026-05-05,2
387,238,59,2026-01-13,5
388,212,27,2026-08-07,2
389,199,16,2026-06-14,2
390,170,42,2025-06-04,4
391,190,6,2026-03-07,2
392,27,18,2026-08-18,5
393,21,56,2025-11-18,2
394,287,14,2026-07-14,2
395,171,20,2026-08-13,2
396,98,48,2026-08-10,4
397,125,45,2026-04-07,2
398,204,59,2026-05-15,5
399,165,50,2025-11-14,4
400,239,35,2026-04-15,3
401,134,24,2026-08-26,4
402,239,7,2026-06-11,3
403,105,24,2026-08-20,4
404,24,37,2026-01-22,2
405,9,17,2026-08-24,5
406,297,47,2026-02-03,3
407,79,13,2026-07-25,2
408,195,37,2026-08-26,2
409,256,36,2026-06-18,3
410,132,49,2026-08-10,4
411,252,30,2025-10-11,3
412,87,9,2026-07-27,5
413,251,12,2026-06-19,1
414,269,3,2025-10-20,1
415,4,27,2026-07-21,2
416,35,46,2026-08-07,1
417,112,33,2026-08-20,3
418,31,40,2026-08-24,5
419,248,43,2026-08-21,1
420,4,35,2026-08-17,4
421,7,2,2026-08-08,3
422,275,19,2025-08-13,5
423,221,52,2025-10-22,1
424,50,34,2026-02-25,2
425,99,40,2026-08-03,3
426,182,18,2026-08-11,4
427,41,24,2026-04-26,4
428,290,16,2026-08-25,2
429,154,44,2026-07-05,1
430,17,6,2026-04-19,4
431,194,36,2026-06-04,1
432,5,45,2026-04-21,1
433,256,55,2026-02-25,3
434,290,55,2026-06-09,5
435,22,15,2026-03-04,5
436,244,18,2025-03-06,1
437,144,58,2026-02-01,5
438,17,12,2026-08-31,3
439,9,14,2026-05-11,4
440,40,20,2025-09-04,5
441,124,37,2026-02-12,5
442,170,25,2025-08-06,1
443,257,48,2026-04-03,1
444,51,28,2026-07-27,1
445,175,39,2026-06-23,5
446,204,50,2026-06-06,1
447,140,51,2026-03-04,4
448,117,23,2026-06-28,4
449,96,44,2026-04-05,1
450,152,52,2026-05-20,1
451,43,18,2025-06-18,4
452,79,48,2026-07-28,3
453,185,7,2026-04-19,1
454,158,29,2026-04-26,3
455,53,9,2025-06-08,2
456,221,29,2026-05-04,5
457,263,27,2026-05-19,1
458,46,23,2026-08-10,1
459,167,56,2026-03-14,1
460,150,27,2026-03-19,1
461,287,58,2026-03-15,5
462,267,11,2026-08-26,2
463,72,18,2026-06-07,3
464,253,10,2026-07-07,2
465,223,18,2026-06-08,3
466,248,51,2026-07-25,3
467,129,16,2026-08-08,4
468,101,30,2025-09-21,2
469,156,1,2026-05-29,3
470,195,52,2026-04-19,4
471,172,28,2026-08-25,5
472,70,20,2026-06-23,5
473,103,31,2026-04-13,2
474,204,21,2026-05-28,4
475,295,51,2026-02-04,3
476,193,18,2026-04-11,3
477,59,60,2026-07-20,5
478,280,12,2026-08-10,5
479,14,47,2026-08-12,2
480,225,52,2026-05-28,1
481,210,44,2026-06-15,2
482,156,16,2026-04-22,2
483,217,51,2026-04-01,1
484,230,39,2026-03-02,5
485,206,35,2026-06-02,4
486,279,3,2026-08-06,3
487,275,39,2026-06-27,1
488,56,50,2026-06-13,3
489,86,42,2026-07-21,1
490,289,42,2026-05-31,3
491,221,7,2025-07-28,1
492,133,15,2026-07-02,5
493,286,38,2025-10-27,4
494,192,26,2026-08-08,5
495,257,10,2026-04-03,1
496,248,7,2026-08-08,4
497,44,8,2026-08-26,2
498,179,20,2026-08-10,4
499,106,34,2026-08-04,3
500,244,7,2026-04-11,4
501,164,5,2026-01-07,1
502,59,2,2026-08-07,1
503,85,60,2026-08-15,2
504,265,12,2026-07-14,2
505,170,36,2026-05-26,4
506,119,52,2026-04-12,2
507,96,41,2026-05-28,4
508,15,48,2026-06-05,4
509,220,25,2026-08-13,2
510,106,18,2026-08-22,1
511,296,7,2026-08-07,5
512,96,24,2026-02-08,2
513,235,8,2026-08-15,4
514,271,41,2026-04-15,5
515,199,40,2026-07-02,5
516,59,23,2026-08-09,4
517,89,53,2026-08-29,3
518,44,44,2026-07-12,3
519,61,16,2026-04-21,1
520,94,24,2026-07-16,5
521,199,27,2026-07-28,2
522,295,25,2026-05-07,2
523,250,41,2026-08-25,2
524,285,11,2026-02-07,3
525,72,12,2026-06-09,4
526,28,56,2026-05-31,1
527,249,9,2026-07-30,4
528,288,33,2026-04-07,4
529,210,44,2026-06-07,4
530,228,32,2026-05-01,1
531,290,2,2026-06-25,3
532,17,18,2026-03-04,5
533,148,11,2026-08-05,5
534,254,36,2026-04-28,1
535,294,8,2026-08-21,5
536,188,35,2025-05-05,4
537,280,14,2026-03-31,1
538,127,20,2026-08-01,1
539,231,17,2026-07-28,1
540,225,56,2026-04-14,2
541,108,52,2026-03-06,5
542,220,11,2026-08-17,2
543,106,52,2026-07-08,5
544,180,35,2026-07-06,5
545,276,11,2026-02-19,3
546,149,37,2026-08-22,5
547,49,9,2026-05-31,1
548,142,56,2026-06-11,2
549,68,16,2025-07-01,3
550,127,49,2026-07-16,4
551,251,10,2026-07-07,3
552,213,25,2026-03-12,1
553,48,26,2026-03-22,3
554,189,30,2026-05-01,3
555,298,1,2026-08-26,1
556,235,41,2026-08-28,3
557,33,51,2026-08-29,4
558,112,28,2026-08-04,4
559,138,21,2026-06-28,3
560,281,37,2025-12-22,5
561,249,51,2026-08-08,1
562,24,7,2026-08-17,4
563,9,8,2026-05-15,4
564,234,1,2026-07-25,2
565,68,57,2025-12-08,2
566,141,6,2026-04-15,3
567,43,24,2025-06-30,1
568,203,41,2026-08-31,2
569,220,42,2026-08-15,1
570,1,14,2025-12-25,1
571,68,38,2025-09-21,5
572,228,1,2026-03-22,3
573,62,56,2026-05-06,2
574,245,5,2025-12-10,4
575,46,47,2026-04-17,1
576,161,24,2026-03-23,2
577,196,50,2026-07-23,2
578,74,5,2026-07-31,5
579,5,40,2026-08-22,2
580,226,23,2026-06-30,2
581,211,40,2026-08-04,4
582,112,6,2026-07-28,2
583,64,38,2026-08-27,4
584,180,28,2026-07-11,2
585,127,18,2026-04-06,1
586,128,36,2026-06-11,5
587,146,50,2026-08-16,1
588,155,14,2026-08-05,5
589,261,13,2026-08-21,4
590,152,42,2026-03-31,2
591,254,25,2025-10-06,2
592,256,41,2026-05-18,1
593,271,57,2026-01-28,3
594,163,9,2026-07-06,5
595,216,24,2026-05-18,2
596,242,50,2026-07-27,1
597,35,1,2026-08-14,2
598,21,60,2025-11-11,4
599,260,19,2026-07-10,4
600,217,45,2026-04-13,1
601,275,35,2026-06-16,2
602,143,6,2026-07-23,1
603,262,59,2026-08-17,2
604,275,21,2026-02-21,5
605,34,20,2026-05-15,4
606,123,4,2026-05-30,1
607,223,8,2026-06-25,5
608,29,20,2025-07-31,1
609,7,46,2026-06-19,1
610,84,32,2026-02-24,5
611,265,51,2026-08-18,3
612,86,24,2026-03-19,3
613,61,50,2025-12-01,3
614,220,18,2026-08-29,1
615,135,46,2026-07-04,1
616,255,30,2026-08-31,3
617,29,32,2025-07-22,3
618,81,17,2026-05-15,5
619,60,15,2026-08-23,5
620,2,3,2025-10-15,2
621,24,31,2026-04-05,4
622,77,12,2026-02-26,5
623,215,15,2026-06-10,2
624,214,59,2026-06-09,3
625,139,53,2025-09-30,5
626,191,8,2026-07-07,1
627,92,15,2026-08-09,1
628,206,5,2026-05-23,3
629,160,21,2026-07-21,5
630,234,1,2026-07-10,2
631,150,37,2025-12-23,5
632,125,30,2025-12-07,5
633,253,50,2026-08-21,2
634,280,49,2025-12-29,2
635,4,60,2026-08-08,1
636,120,35,2026-06-06,1
637,172,1,2026-08-11,4
638,158,7,2026-03-17,5
639,122,27,2026-06-04,1
640,73,46,2026-01-18,1
641,23,59,2026-02-27,5
642,212,45,2026-02-27,4
643,44,38,2026-07-10,5
644,69,41,2026-07-31,1
645,291,4,2026-06-12,2
646,122,19,2026-02-06,3
647,202,45,2026-08-23,3
648,163,29,2026-06-06,2
649,39,13,2025-07-07,5
650,56,10,2026-05-26,2
651,231,30,2026-07-26,4
652,62,35,2026-04-19,2
653,232,20,2026-07-19,3
654,62,6,2026-02-27,3
655,21,14,2026-03-28,2
656,47,46,2025-09-15,3
657,203,33,2026-08-30,3
658,134,53,2026-03-06,1
659,208,55,2026-05-19,5
660,282,16,2025-10-15,4
661,53,52,2026-06-05,2
662,63,1,2026-04-23,2
663,67,13,2026-04-16,3
664,44,38,2026-08-10,3
665,39,2,2025-04-25,2
666,228,52,2026-04-21,1
667,170,8,2025-04-28,4
668,26,11,2026-08-07,4
669,255,2,2026-08-30,4
670,89,23,2026-05-03,2
671,141,18,2026-05-29,2
672,18,40,2025-11-19,3
673,256,27,2026-04-25,4
674,32,6,2026-07-01,4
675,71,27,2025-08-26,5
676,128,41,2026-08-02,5
677,10,25,2026-07-18,3
678,246,35,2026-05-13,3
679,290,33,2026-07-08,4
680,139,12,2025-09-04,3
681,113,2,2026-07-19,3
682,30,52,2026-05-31,5
683,184,50,2026-07-25,2
684,82,7,2026-06-01,2
685,137,35,2026-08-09,1
686,113,37,2026-06-24,4
687,182,60,2026-08-17,2
688,91,16,2026-01-20,3
689,15,46,2026-07-15,5
690,289,10,2026-08-23,2
691,253,35,2026-07-22,2
692,252,3,2025-09-01,1
693,120,39,2026-05-05,1
694,270,31,2026-03-03,3
695,104,52,2025-07-27,3
696,91,59,2026-01-26,1
697,12,10,2026-02-21,1
698,270,56,2026-06-04,1
699,192,46,2026-08-21,4
700,52,22,2026-05-01,3
701,70,11,2026-08-14,4
702,250,42,2026-06-30,2
703,288,45,2026-08-06,5
704,183,15,2026-08-17,5
705,90,25,2025-12-18,3
706,66,12,2026-08-22,1
707,294,26,2026-08-31,1
708,94,39,2026-08-07,5
709,114,41,2026-02-12,1
710,255,10,2026-08-29,1
711,122,23,2026-03-08,2
712,46,53,2026-06-15,4
713,6,17,2025-11-06,2
714,35,23,2026-08-14,1
715,1,4,2025-11-08,4
716,215,11,2026-08-21,4
717,253,57,2026-07-27,3
718,280,25,2025-10-16,4
719,296,42,2026-08-02,2
720,84,29,2025-10-07,1
721,151,2,2026-07-27,3
722,54,5,2026-02-25,2
723,193,11,2025-05-20,5
724,48,22,2026-05-02,5
725,248,46,2026-07-22,4
726,85,39,2026-07-07,2
727,28,7,2026-05-17,2
728,98,27,2026-08-29,5
729,277,17,2026-05-31,3
730,153,16,2026-01-23,1
731,202,37,2026-08-05,4
732,79,4,2026-07-27,1
733,219,6,2025-09-18,5
734,246,13,2025-10-26,1
735,106,11,2026-08-14,3
736,42,31,2026-05-24,3
737,204,31,2026-07-18,3
738,47,42,2026-07-15,4
739,95,24,2026-07-23,3
740,96,29,2025-04-26,3
741,226,30,2026-07-06,2
742,138,37,2026-05-02,2
743,50,6,2026-07-08,3
744,278,27,2026-08-29,2
745,284,4,2026-07-02,4
746,268,27,2026-03-03,4
747,294,57,2026-08-20,4
748,154,6,2025-11-26,1
749,258,37,2026-06-28,5
750,76,8,2026-05-30,2
751,86,14,2026-04-05,2
752,22,28,2026-01-29,4
753,104,53,2025-08-14,5
754,133,21,2025-04-04,1
755,199,36,2026-07-02,5
756,167,55,2026-01-17,5
757,235,59,2026-08-07,5
758,268,51,2026-01-02,1
759,213,10,2025-10-07,5
760,299,49,2026-08-26,1
761,55,37,2026-08-28,1
762,147,56,2026-08-19,3
763,211,17,2026-03-02,4
764,293,39,2026-08-01,1
765,89,18,2026-06-21,2
766,206,3,2026-05-05,3
767,122,4,2026-05-27,3
768,191,2,2026-05-26,3
769,160,18,2026-08-16,1
770,117,9,2026-05-20,4
771,165,18,2026-07-01,4
772,46,13,2026-07-13,2
773,209,48,2026-05-22,5
774,192,53,2026-07-13,5
775,82,5,2026-06-17,5
776,207,9,2026-08-23,5
777,15,12,2026-06-04,2
778,30,16,2025-10-18,4
779,26,59,2026-07-20,2
780,141,24,2026-06-07,5
781,204,41,2026-04-15,1
782,124,24,2026-05-25,5
783,229,12,2026-08-15,5
784,283,23,2026-08-29,2
785,133,48,2025-04-28,3
786,15,25,2026-04-28,2
787,293,50,2025-11-09,2
788,116,44,2026-01-29,3
789,210,33,2025-02-09,1
790,243,59,2026-05-19,2
791,5,15,2026-05-12,5
792,157,46,2026-05-09,3
793,217,58,2026-03-31,3
794,236,17,2025-09-10,4
795,155,44,2026-08-06,5
796,204,38,2026-04-10,1
797,262,43,2026-08-22,5
798,145,20,2026-08-28,1
799,247,5,2026-08-24,3
800,167,56,2026-01-17,3
801,153,13,2026-02-19,5
802,124,58,2025-03-09,5
803,207,43,2026-07-01,2
804,14,42,2026-08-30,3
805,133,59,2026-03-30,4
806,199,48,2026-05-17,5
807,293,53,2025-10-15,3
808,114,44,2026-01-27,4
809,184,33,2026-06-19,2
810,286,12,2026-01-09,1
811,242,9,2026-08-08,5
812,94,44,2026-08-09,1
813,114,23,2025-08-21,3
814,216,51,2026-01-28,3
815,134,38,2026-05-06,4
816,61,31,2025-12-13,5
817,298,40,2026-05-28,4
818,100,33,2026-08-22,4
819,272,20,2026-05-31,1
820,78,9,2025-12-23,3
821,210,37,2026-05-03,2
822,162,56,2026-08-28,2
823,42,32,2026-07-19,2
824,161,41,2025-11-19,1
825,232,18,2026-05-15,2
826,296,49,2026-05-17,4
827,46,9,2026-08-26,4
828,220,26,2026-08-26,4
829,197,1,2026-03-15,5
830,103,47,2026-05-14,1
831,165,49,2026-08-23,5
832,98,2,2026-08-28,1
833,128,15,2026-07-05,3
834,160,9,2026-07-22,4
835,258,38,2025-11-24,2
836,34,53,2025-06-15,3
837,149,30,2026-08-30,5
838,269,22,2026-04-22,2
839,176,58,2026-08-16,3
840,97,11,2026-03-23,1
841,117,15,2026-02-23,2
842,12,38,2026-08-26,2
843,64,24,2026-08-18,1
844,193,57,2025-11-21,5
845,25,39,2025-07-19,1
846,11,4,2025-12-10,4
847,228,25,2026-04-20,5
848,130,31,2026-04-10,2
849,106,45,2026-08-17,1
850,155,27,2026-01-03,5
851,139,40,2026-06-28,2
852,215,54,2026-08-23,1
853,262,47,2026-08-30,1
854,145,8,2026-08-30,1
855,255,13,2026-08-31,2
856,135,54,2026-06-06,2
857,184,46,2026-07-03,3
858,83,3,2026-08-12,4
859,107,45,2026-06-02,3
860,121,1,2025-01-17,1
861,57,54,2026-02-26,4
862,77,6,2026-06-27,1
863,52,58,2026-04-08,2
864,234,19,2026-06-13,4
865,26,7,2026-06-02,1
866,149,24,2026-08-24,4
867,60,7,2026-08-30,1
868,5,55,2026-04-13,2
869,169,23,2026-05-11,5
870,138,57,2026-05-10,3
871,176,12,2026-06-29,4
872,205,30,2025-11-22,4
873,245,52,2026-03-18,2
874,58,9,2026-07-30,1
875,82,7,2026-07-14,5
876,248,52,2026-08-26,4
877,93,40,2026-08-28,3
878,15,56,2026-05-19,4
879,250,8,2026-07-24,4
880,24,5,2026-02-11,3
881,7,46,2026-08-27,5
882,296,47,2026-07-08,2
883,174,34,2026-06-25,5
884,49,28,2026-03-09,4
885,178,43,2026-07-20,2
886,286,58,2025-05-09,1
887,81,33,2026-08-17,4
888,85,5,2026-08-17,4
889,165,16,2025-12-09,3
890,26,33,2026-06-15,5
891,194,26,2026-08-31,2
892,41,30,2026-06-04,5
893,230,6,2026-03-12,4
894,162,8,2026-08-24,1
895,53,26,2025-11-22,1
896,286,36,2025-03-15,1
897,156,57,2026-06-27,5
898,106,42,2026-08-16,4
899,175,24,2025-09-09,2
900,233,22,2026-06-22,5
901,243,46,2026-07-26,3
902,232,8,2026-04-16,2
903,2,22,2026-04-08,3
904,281,34,2026-04-26,1
905,24,58,2025-12-24,4
906,72,53,2026-07-30,4
907,55,17,2026-08-23,2
908,97,8,2026-03-18,2
909,235,53,2026-08-13,3
910,56,49,2026-07-05,1
911,64,50,2026-04-06,4
912,259,9,2026-07-11,1
913,272,48,2025-11-25,5
914,222,54,2026-07-02,4
915,261,50,2026-06-09,5
916,89,47,2026-04-11,1
917,199,43,2026-07-28,5
918,165,33,2026-01-05,4
919,128,18,2026-04-20,3
920,151,29,2026-07-04,2
921,212,39,2026-07-20,3
922,281,56,2026-03-26,5
923,112,13,2026-08-04,5
924,149,44,2026-08-25,2
925,92,33,2026-08-22,3
926,60,49,2026-07-29,5
927,246,38,2026-06-26,4
928,274,19,2026-07-05,4
929,7,34,2026-06-15,1
930,196,10,2026-01-09,1
